,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,164.18,163.81,128.77,185.88,151.81,225.84,236.99,139.50,177.34,243.19,311.15,306.01
1902,345.98,225.08,145.65,208.66,156.91,122.20,114.18,105.29,148.32,202.27,215.98,346.08
1903,423.12,236.48,161.76,185.97,185.40,166.03,237.43,252.64,181.08,219.40,235.17,300.14
1904,400.52,120.25,102.56,197.92,112.41,154.16,204.50,189.90,188.33,270.07,271.27,367.39
1905,202.71,207.81,173.65,200.19,274.29,155.50,182.52,167.47,176.49,222.60,341.80,284.43
1906,301.24,180.99,213.84,170.25,179.78,252.56,200.24,222.27,164.57,290.28,250.92,460.59
1907,142.23,143.43,190.01,172.80,193.49,216.77,230.52,108.86,175.53,263.59,257.95,277.42
1908,212.91,197.59,167.33,186.69,157.68,191.30,183.62,171.19,217.93,228.75,274.53,453.52
1909,322.41,224.93,241.88,226.98,149.28,218.99,131.62,206.93,144.77,235.92,265.77,298.27
1910,214.58,330.32,174.96,149.86,148.96,217.15,197.71,288.34,202.45,262.41,249.28,300.81
1911,339.67,100.32,87.28,154.11,263.46,124.17,134.80,142.90,190.04,280.05,402.57,302.82
1912,175.99,338.60,80.39,222.58,240.94,223.95,174.72,210.23,206.17,262.49,269.79,384.31
1913,452.09,190.41,379.18,253.98,218.38,299.31,150.59,117.57,208.64,258.66,375.30,298.21
1914,502.47,105.69,197.94,297.33,141.94,207.82,138.86,74.77,108.85,177.36,264.10,246.60
1915,264.09,150.28,145.84,243.68,139.98,203.94,264.73,147.75,206.64,253.83,323.60,355.89
1916,157.71,70.39,250.23,181.31,216.82,209.83,338.28,263.32,169.60,223.52,343.26,250.97
1917,382.35,289.82,250.18,205.20,208.72,157.20,148.12,311.91,239.98,240.41,238.48,293.34
1918,517.50,81.44,103.45,210.32,222.27,291.04,158.50,150.85,230.68,198.51,246.36,282.40
1919,315.05,158.81,221.27,224.33,228.02,131.49,264.91,148.36,165.98,253.60,273.03,267.75
1920,359.20,170.88,165.91,171.63,160.04,129.79,184.50,215.65,197.07,233.81,324.88,177.42
1921,413.97,257.10,228.85,219.66,223.85,168.77,187.07,139.83,211.58,331.18,304.20,205.97
1922,222.99,159.73,197.10,203.81,203.84,185.08,150.83,225.84,179.09,287.49,382.77,283.00
1923,359.57,107.05,215.54,140.01,172.80,156.38,256.75,147.78,144.92,194.68,273.45,295.16
1924,276.95,345.91,308.06,158.36,251.59,180.69,173.83,157.27,276.46,241.67,244.99,230.63
1925,406.40,280.82,183.81,187.53,249.44,169.50,150.20,147.21,235.10,333.11,342.06,373.18
1926,250.47,183.78,124.46,189.01,146.30,166.59,247.09,193.72,242.38,250.47,270.49,314.18
1927,316.76,191.88,242.59,245.81,221.94,157.62,128.55,165.96,254.11,252.43,326.24,305.14
1928,270.49,274.82,226.58,254.88,171.01,126.96,236.67,189.86,183.12,261.98,355.05,277.34
1929,174.61,175.59,220.93,148.60,199.96,251.98,108.37,146.72,214.92,219.60,298.78,278.79
1930,176.65,112.17,235.93,250.36,198.34,241.66,139.62,94.60,189.37,294.07,293.05,302.24
1931,338.93,152.86,180.32,223.48,238.63,264.81,230.26,142.28,263.66,245.85,288.27,343.48
1932,212.69,178.62,207.07,229.24,282.48,212.22,241.50,195.45,199.97,227.54,244.99,203.97
1933,349.15,109.78,289.12,146.27,230.83,217.30,198.34,239.60,224.93,253.40,302.58,220.33
1934,421.95,198.18,285.35,144.65,226.01,260.37,232.50,200.30,155.17,259.81,319.18,164.77
1935,185.92,169.49,188.73,152.33,220.40,256.67,133.40,216.59,146.40,241.76,266.30,331.55
1936,219.01,119.79,216.58,187.57,304.82,153.73,169.33,166.59,174.94,312.83,317.24,282.16
1937,236.78,246.32,179.12,247.47,303.95,144.38,187.67,151.45,213.80,229.29,254.47,298.67
1938,280.62,143.70,211.84,264.95,274.82,161.25,182.33,221.16,172.48,212.37,254.99,291.84
1939,306.70,152.34,191.24,256.24,167.87,191.77,144.86,172.83,248.37,312.21,258.78,322.27
1940,155.05,147.10,99.38,174.63,202.19,216.50,176.67,205.77,191.89,171.29,275.60,314.76
1941,335.05,169.03,161.55,227.81,226.11,131.99,243.98,173.33,136.94,169.75,321.05,294.89
1942,256.40,180.21,220.37,312.74,216.97,150.56,164.94,187.30,183.79,359.21,281.38,536.88
1943,188.29,281.49,219.61,217.27,156.77,183.67,134.12,132.27,180.59,200.66,265.68,255.55
1944,143.61,263.39,102.60,194.09,168.64,162.96,113.03,148.23,263.36,237.16,264.26,220.23
1945,195.72,255.76,298.73,239.60,193.78,131.03,213.03,217.35,152.06,273.44,255.85,289.99
1946,268.09,254.22,231.45,218.40,256.92,160.56,118.44,148.39,215.36,222.17,241.68,429.49
1947,262.53,328.34,292.89,250.15,155.29,157.42,152.78,148.86,240.19,192.94,191.02,404.34
1948,448.12,197.07,290.86,176.71,252.96,193.92,271.64,119.11,173.72,157.49,343.51,340.73
1949,217.74,190.04,116.91,258.35,244.50,213.05,204.06,127.96,183.13,298.71,275.66,343.95
1950,242.07,165.29,242.34,312.22,232.35,148.56,209.05,214.83,205.93,282.19,331.75,275.27
1951,469.34,201.47,153.71,230.60,157.16,131.05,255.32,167.48,192.92,185.60,239.74,284.19
1952,393.56,290.62,305.65,182.03,158.87,175.91,281.80,218.16,177.54,271.56,354.60,210.32
1953,232.96,226.96,264.17,277.49,221.19,163.65,254.32,131.07,206.01,198.23,199.02,238.98
1954,256.13,196.90,232.09,242.53,157.94,220.96,158.68,193.49,189.98,369.46,289.82,502.44
1955,472.12,106.63,108.99,228.11,129.51,174.13,179.60,240.70,186.80,302.97,270.46,320.29
1956,308.79,178.82,147.84,130.89,244.53,156.23,260.64,215.29,219.16,258.89,433.64,260.98
1957,180.65,123.87,168.43,173.22,180.95,152.39,290.59,165.23,240.72,227.18,253.31,486.67
1958,238.88,163.99,177.90,139.65,254.59,230.61,71.54,262.64,130.83,297.14,372.13,194.27
1959,260.78,156.34,268.44,276.89,222.42,274.63,163.72,170.09,152.78,239.10,293.53,394.82
1960,214.14,224.61,161.96,195.13,193.70,226.61,254.62,124.39,237.17,163.84,191.91,305.87
1961,244.80,167.99,259.38,195.02,201.44,161.36,169.44,93.61,137.19,142.61,288.16,290.26
1962,325.85,116.73,241.46,189.11,197.46,203.98,169.70,212.72,165.74,222.35,280.08,316.27
1963,243.24,203.53,86.55,72.30,188.19,206.99,205.62,97.51,101.57,165.83,194.69,422.58
1964,224.42,381.16,221.97,306.39,201.34,176.18,322.50,141.72,183.80,320.44,223.81,412.89
1965,109.21,218.79,237.35,183.14,272.19,208.40,92.52,138.85,151.98,289.04,255.40,270.32
1966,249.59,154.37,212.41,200.71,190.37,154.29,194.45,150.97,136.65,298.20,408.52,336.06
1967,410.29,325.15,121.74,226.28,202.37,165.98,188.55,105.16,101.55,149.41,398.29,498.40
1968,244.61,71.02,257.01,128.07,187.14,186.52,232.35,205.93,178.71,260.56,339.10,295.13
1969,197.35,203.57,158.01,214.62,221.72,178.47,230.57,171.19,182.92,180.19,276.76,528.44
1970,220.88,131.18,204.57,222.89,229.89,197.30,203.95,166.69,236.50,294.19,248.61,263.26
1971,190.84,159.55,124.90,84.96,187.37,155.63,152.26,200.40,175.44,237.87,295.29,249.16
1972,127.09,169.44,111.63,261.54,205.31,124.05,77.32,133.36,222.34,141.22,239.21,319.21
1973,279.25,250.11,208.22,235.87,219.78,216.29,152.68,223.98,281.17,346.21,293.27,303.04
1974,119.62,200.07,115.32,198.93,238.97,196.18,226.11,162.65,333.53,250.83,269.94,216.51
1975,207.67,178.17,200.47,137.06,154.61,201.69,242.41,178.85,200.33,252.46,373.51,186.48
1976,122.03,101.54,135.89,244.99,167.99,160.50,233.62,134.38,203.57,268.82,280.08,357.16
1977,131.50,217.57,97.33,94.78,176.81,182.50,176.46,213.14,193.78,170.02,341.18,283.54
1978,324.87,151.97,205.81,217.26,250.36,204.74,211.76,148.85,209.52,239.42,313.73,456.41
1979,168.46,139.31,151.57,327.02,201.48,209.98,236.30,142.81,252.62,324.58,337.26,191.70
1980,286.95,151.54,140.60,262.05,237.37,193.55,188.43,235.47,261.67,356.60,355.06,296.62
1981,119.44,211.76,122.08,214.75,266.70,100.97,212.54,54.73,228.17,171.39,165.72,323.62
1982,165.01,120.76,181.15,209.70,213.38,129.96,102.59,188.89,88.83,163.27,236.00,426.10
1983,256.50,87.23,54.81,84.33,243.76,159.08,263.08,191.09,227.28,214.80,273.65,386.93
1984,320.61,347.21,306.30,202.49,264.73,247.47,163.92,148.85,233.74,223.16,304.56,249.73
1985,211.31,218.51,282.23,180.94,221.70,145.50,259.87,130.14,248.65,317.75,279.68,283.10
1986,317.79,109.70,270.55,283.86,197.97,231.69,212.50,103.07,278.19,257.18,303.30,291.04
1987,450.26,93.25,183.64,194.21,234.19,172.26,129.65,240.48,210.61,200.12,325.20,273.60
1988,242.04,203.98,227.67,209.96,266.82,220.27,242.37,234.37,266.16,192.52,337.46,182.80
1989,217.37,130.79,193.15,229.80,226.55,200.87,226.09,205.35,220.91,308.83,329.14,310.31
1990,207.66,176.04,103.63,160.79,178.14,172.63,271.00,132.02,225.99,293.26,249.11,266.49
1991,209.47,116.66,271.41,164.00,227.21,139.49,120.76,142.60,122.23,162.36,331.33,477.54
1992,201.18,146.11,168.13,165.84,217.23,146.55,288.32,146.24,174.94,251.32,330.98,444.90
