,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,212.82,213.68,262.99,275.44,204.59,239.54,280.46,259.62,50.67,141.96,139.65,232.40
1902,274.77,206.45,248.18,222.50,163.70,239.54,89.65,125.25,140.13,57.55,88.10,221.80
1903,225.84,191.93,276.53,285.81,244.69,239.54,227.64,315.50,94.15,130.91,137.46,201.53
1904,331.03,237.73,266.02,279.83,252.04,239.54,195.30,109.80,122.50,128.92,224.00,198.80
1905,258.68,242.33,279.77,232.22,292.73,239.54,247.05,80.68,159.04,101.02,168.00,170.33
1906,251.91,195.70,226.14,337.67,197.88,239.54,165.13,210.87,114.94,129.57,186.01,219.69
1907,224.28,234.37,252.36,211.66,220.46,239.54,199.62,144.28,85.33,86.60,198.16,219.69
1908,341.23,205.89,242.16,283.15,214.02,239.55,178.06,157.44,137.60,112.71,241.24,226.04
1909,286.52,190.52,258.26,264.44,258.55,239.54,231.97,267.95,153.99,157.09,224.79,239.06
1910,264.17,216.65,260.16,209.09,218.27,239.54,238.43,397.98,183.61,177.14,167.61,233.92
1911,303.34,245.37,195.15,217.71,245.03,239.54,146.79,118.12,72.09,107.95,178.17,302.34
1912,330.75,273.14,210.83,204.50,303.16,239.54,385.02,252.49,78.39,101.44,197.76,256.33
1913,278.74,204.03,254.16,312.52,232.83,239.54,161.89,162.12,89.73,98.24,201.28,241.78
1914,302.54,213.49,238.41,212.80,172.57,239.54,95.04,63.42,51.93,66.86,151.95,196.37
1915,195.78,205.04,159.67,402.71,283.27,239.54,107.98,213.24,217.62,86.61,204.03,208.78
1916,248.89,301.98,270.47,167.47,353.85,239.54,472.37,483.51,254.80,114.10,97.52,224.83
1917,266.22,231.31,268.97,204.72,236.06,239.54,678.28,500.99,219.52,173.56,144.24,209.88
1918,267.29,307.91,191.99,131.62,156.09,238.47,99.76,95.40,50.55,100.57,106.03,200.96
1919,234.15,166.01,226.09,260.72,236.37,238.47,290.56,63.30,109.19,58.43,103.02,200.55
