,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,326.35,403.89,404.10,79.04,58.31,45.93,32.94,11.99,38.20,51.92,177.55,275.65
1902,275.79,367.48,181.33,81.66,58.13,45.30,32.31,12.26,37.34,51.68,176.74,275.35
1903,349.96,324.57,283.43,153.27,105.80,45.38,32.32,11.97,37.99,60.18,177.19,275.11
1904,396.79,374.39,255.98,205.33,125.84,45.40,32.33,12.00,37.55,99.37,177.50,275.15
1905,330.66,289.83,192.31,181.75,59.13,45.20,32.31,80.44,37.34,64.47,176.87,274.54
1906,308.13,257.15,332.30,100.55,68.21,45.20,32.41,11.97,38.28,91.48,177.15,277.00
1907,434.30,278.99,234.51,147.22,51.35,19.72,16.38,1.61,35.84,9.73,115.08,268.11
1908,248.39,361.16,288.63,203.47,115.26,83.73,16.65,34.79,35.59,8.88,108.92,256.50
1909,304.46,247.17,278.76,117.03,285.12,48.59,21.68,12.99,38.57,115.27,254.63,158.29
1910,308.85,273.03,357.10,189.82,83.04,21.34,34.89,111.11,40.76,211.77,355.35,314.97
1911,143.53,161.16,105.49,86.80,112.42,42.52,28.34,1.60,29.93,23.36,78.57,340.90
1912,252.98,381.33,309.97,21.11,24.75,19.96,35.01,1.64,37.37,10.40,92.18,236.53
1913,375.99,205.80,505.78,107.94,66.73,22.41,19.86,1.59,32.14,13.52,72.80,216.65
1914,219.24,328.72,203.32,118.67,185.85,24.06,15.62,1.59,28.49,5.31,85.74,286.15
1915,282.36,397.07,128.98,83.40,171.69,19.97,20.72,8.10,54.67,27.61,207.08,217.25
1916,378.05,383.10,338.04,62.87,40.75,25.96,54.13,45.84,32.78,221.21,241.15,424.10
1917,352.85,261.19,341.27,226.15,109.63,106.84,24.39,30.19,48.96,58.74,194.74,289.19
1918,487.34,292.77,84.86,173.37,43.03,18.34,20.00,51.21,8.70,17.39,106.50,406.95
1919,199.42,267.77,210.64,295.36,64.52,18.19,14.81,1.35,14.59,8.00,150.63,342.16
1920,275.16,301.79,278.05,147.03,51.94,31.58,73.09,49.30,59.84,124.21,227.55,197.78
1921,247.78,395.63,329.98,42.50,19.83,146.85,17.43,9.62,34.73,199.11,138.08,282.70
1922,344.09,279.48,354.29,101.84,147.18,22.20,17.11,2.12,14.12,58.54,84.39,271.76
1923,262.62,210.45,241.29,72.25,76.55,100.86,40.44,0.82,6.08,42.06,122.07,426.09
1924,214.12,217.35,162.94,87.04,82.11,14.75,6.65,1.28,18.82,126.03,324.12,149.92
1925,452.11,302.87,348.02,95.52,68.54,22.25,39.19,4.84,73.92,7.89,31.20,192.71
1926,226.48,266.68,340.06,172.12,55.94,7.38,1.67,10.61,25.90,9.48,157.84,313.41
1927,398.92,242.38,428.42,67.08,134.39,36.75,4.86,10.82,7.75,27.53,119.02,188.14
1928,269.98,250.42,284.25,215.61,17.33,23.56,52.70,33.99,4.76,44.25,115.25,490.78
1929,320.96,239.34,431.04,153.39,16.69,29.14,11.49,3.18,18.16,23.03,59.99,224.09
1930,141.20,273.78,244.94,52.46,38.71,2.25,13.33,2.26,10.77,50.07,109.25,361.04
1931,249.60,216.55,273.59,180.60,61.79,49.07,7.48,12.36,25.96,17.41,140.38,199.06
1932,295.42,306.48,284.75,124.59,160.29,170.43,2.27,7.70,9.18,21.98,175.88,368.91
1933,212.74,210.69,383.02,151.87,121.12,124.40,2.52,60.22,55.50,33.28,216.44,419.81
