,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,311.25,296.65,362.32,303.43,307.39,262.57,257.76,259.62,238.23,235.82,230.43,269.86
1902,309.11,291.86,357.77,300.63,296.58,255.80,251.82,261.44,230.12,238.37,216.44,273.16
1903,308.22,287.67,356.20,308.63,297.96,260.94,259.15,255.20,239.31,238.96,222.25,274.97
1904,304.62,288.40,352.48,305.59,299.19,259.85,258.44,257.33,235.05,238.52,225.90,281.83
1905,312.16,295.75,351.98,305.00,295.07,257.75,255.74,254.43,235.53,246.26,221.34,266.53
1906,317.77,286.79,356.20,306.17,297.96,265.25,256.79,257.76,231.74,237.01,227.99,277.65
1907,304.87,293.84,358.46,308.09,300.19,261.49,255.38,259.02,236.70,234.74,222.75,272.01
1908,315.60,290.42,360.49,305.63,299.27,259.31,268.02,259.27,239.82,250.66,227.18,281.36
1909,309.68,284.73,362.09,313.94,309.67,262.12,267.10,264.30,234.90,246.58,230.99,278.41
1910,307.93,305.76,355.16,310.79,298.84,271.53,259.54,259.70,239.86,235.95,230.78,282.44
1911,307.58,289.22,354.90,314.81,295.94,256.33,250.04,254.65,184.58,234.33,222.25,270.46
1912,310.65,292.84,356.29,291.62,295.19,264.87,257.94,257.18,186.98,235.12,222.29,271.06
1913,308.85,290.24,358.06,313.77,303.34,256.34,258.32,253.78,237.79,234.90,221.88,280.79
1914,306.83,290.03,356.15,361.70,296.94,261.81,246.80,249.94,183.47,233.05,216.01,273.71
1915,308.73,279.79,355.29,239.45,295.30,255.28,252.60,266.82,238.20,237.34,233.88,272.14
1916,310.35,285.94,355.66,317.41,298.85,256.52,260.66,257.86,242.85,242.20,232.60,273.91
1917,312.49,280.37,356.05,263.38,306.29,259.52,251.10,261.71,200.26,252.79,229.70,276.50
1918,305.42,286.32,353.59,310.12,299.20,260.66,247.68,252.31,186.66,241.70,215.22,272.42
1919,306.60,289.08,356.21,284.22,299.68,255.76,255.40,252.36,214.84,234.59,218.15,270.18
1920,306.37,290.71,355.14,332.24,300.69,259.46,252.91,255.08,189.02,241.23,220.06,285.32
1921,310.03,280.43,356.83,324.64,295.01,257.32,259.17,260.06,262.81,245.93,221.04,278.80
1922,306.55,288.23,354.33,337.61,298.65,254.17,255.04,254.25,190.32,246.26,229.03,266.31
1923,309.45,283.76,358.30,295.73,299.41,252.90,254.04,253.99,188.77,236.52,217.21,267.72
1924,306.86,294.94,356.56,339.36,296.52,264.02,255.72,258.37,228.77,243.07,231.07,281.17
1925,305.56,290.91,355.81,345.74,295.43,264.63,248.19,254.30,214.54,239.87,228.61,276.87
1926,306.24,290.98,352.18,305.90,295.69,254.45,246.55,252.87,219.78,241.80,231.90,270.61
1927,308.49,281.29,355.40,310.98,302.84,254.84,250.29,262.25,186.29,233.99,222.24,271.04
1928,306.76,283.48,356.19,294.60,298.19,252.82,250.51,258.96,186.24,246.96,220.23,272.92
1929,311.20,289.19,354.42,305.37,294.99,255.47,255.05,264.31,187.57,243.55,229.63,273.42
1930,305.33,291.37,357.50,267.91,296.91,260.02,246.31,252.71,184.02,235.91,219.96,275.41
1931,306.67,287.95,355.09,384.57,295.17,257.39,254.89,253.76,199.74,242.63,227.20,269.58
