,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,273.51,233.52,293.49,115.17,306.22,314.85,300.26,254.07,255.50,98.39,354.33,163.00
1902,276.53,217.56,292.88,213.49,304.12,177.50,177.33,281.83,106.36,140.20,81.99,225.21
1903,274.13,234.66,294.19,306.20,308.24,291.00,324.49,179.29,304.70,173.28,222.68,264.77
1904,279.21,232.51,293.70,266.83,308.60,288.15,328.06,227.36,220.22,166.62,249.44,283.34
1905,275.73,335.03,294.39,309.16,310.77,227.10,211.91,173.20,196.24,256.01,228.45,175.62
1906,275.41,221.36,291.76,258.76,305.87,358.72,272.04,221.52,151.63,139.94,234.68,120.34
1907,274.02,377.28,293.06,193.45,307.00,247.13,245.91,237.97,150.44,122.79,186.60,203.45
1908,279.76,142.95,292.52,156.35,306.64,280.51,475.33,262.85,313.42,349.73,265.38,322.35
1909,277.12,261.61,293.30,488.20,308.81,339.64,463.05,291.99,236.54,285.93,160.82,193.97
1910,276.00,572.50,293.40,312.91,306.91,532.33,299.86,234.56,249.32,136.03,344.11,341.93
1911,277.93,271.25,290.32,196.69,308.27,201.34,130.57,178.99,126.74,120.86,242.97,254.86
1912,279.25,404.59,291.03,299.13,311.30,323.43,311.36,235.48,173.29,137.02,226.58,261.70
1913,276.71,289.23,293.09,261.20,307.68,216.61,341.11,172.74,166.81,122.93,242.96,268.16
1914,277.88,225.72,292.36,117.74,304.38,332.98,103.57,83.24,78.47,96.60,137.95,300.71
1915,272.71,138.67,288.64,210.13,310.23,191.81,192.34,386.11,163.91,148.36,333.93,201.82
1916,275.21,235.46,293.86,211.66,313.91,236.63,389.81,247.35,266.09,250.19,226.23,237.38
1917,276.06,144.85,293.82,131.58,307.80,274.79,217.45,296.85,199.85,307.60,197.05,208.43
1918,276.06,230.11,290.24,281.06,303.70,331.07,132.41,140.45,152.49,244.07,118.52,194.27
1919,274.51,295.32,291.83,228.04,307.89,204.20,279.19,118.78,352.77,118.13,168.10,280.96
1920,275.30,274.59,290.71,258.23,305.24,298.63,217.54,171.32,204.96,200.68,199.62,256.81
1921,282.10,146.85,292.27,333.51,307.21,237.59,305.31,268.69,252.64,200.84,196.72,261.89
1922,278.67,268.15,291.21,234.21,309.43,182.27,223.88,172.69,235.35,270.69,340.90,147.25
1923,277.52,159.41,293.18,114.68,309.46,161.28,258.95,165.49,208.05,144.30,152.44,202.95
1924,278.37,337.07,293.13,406.81,313.02,352.05,283.68,205.08,130.72,235.49,260.32,275.36
1925,273.40,281.76,289.97,307.13,309.82,408.33,137.89,162.48,352.76,216.56,319.26,248.76
