province_name,year,month,precipitation
Aceh,1901,Jan,79.32
Aceh,1901,Feb,139.04
Aceh,1901,Mar,86.29
Aceh,1901,Apr,161.2
Aceh,1901,May,265.28
Aceh,1901,Jun,165.82
Aceh,1901,Jul,228.46
Aceh,1901,Aug,94.84
Aceh,1901,Sep,230.59
Aceh,1901,Oct,440.52
Aceh,1901,Nov,220.07
Aceh,1901,Dec,238.72
Aceh,1902,Jan,224.23
Aceh,1902,Feb,111.39
Aceh,1902,Mar,105.66
Aceh,1902,Apr,216.4
Aceh,1902,May,148.03
Aceh,1902,Jun,108.28
Aceh,1902,Jul,251.27
Aceh,1902,Aug,286.65
Aceh,1902,Sep,143.31
Aceh,1902,Oct,294.24
Aceh,1902,Nov,235.64
Aceh,1902,Dec,153.08
Aceh,1903,Jan,201.57
Aceh,1903,Feb,64.87
Aceh,1903,Mar,58.54
Aceh,1903,Apr,111.24
Aceh,1903,May,144.96
Aceh,1903,Jun,175.83
Aceh,1903,Jul,148.49
Aceh,1903,Aug,203.79
Aceh,1903,Sep,173.43
Aceh,1903,Oct,305.89
Aceh,1903,Nov,309.7
Aceh,1903,Dec,413.36
Aceh,1904,Jan,293.99
Aceh,1904,Feb,133.42
Aceh,1904,Mar,91.61
Aceh,1904,Apr,157.54
Aceh,1904,May,231.85
Aceh,1904,Jun,163.44
Aceh,1904,Jul,147.59
Aceh,1904,Aug,193.07
Aceh,1904,Sep,300.9
Aceh,1904,Oct,233.9
Aceh,1904,Nov,261.44
Aceh,1904,Dec,216.04
Aceh,1905,Jan,308.85
Aceh,1905,Feb,138.79
Aceh,1905,Mar,154.02
Aceh,1905,Apr,142.8
Aceh,1905,May,294.31
Aceh,1905,Jun,174.1
Aceh,1905,Jul,157.37
Aceh,1905,Aug,178.2
Aceh,1905,Sep,207.89
Aceh,1905,Oct,200.38
Aceh,1905,Nov,163.55
Aceh,1905,Dec,152.39
Aceh,1906,Jan,360.54
Aceh,1906,Feb,150.93
Aceh,1906,Mar,111.62
Aceh,1906,Apr,169.86
Aceh,1906,May,216.64
Aceh,1906,Jun,258.63
Aceh,1906,Jul,122.17
Aceh,1906,Aug,216.62
Aceh,1906,Sep,86.79
Aceh,1906,Oct,272.22
Aceh,1906,Nov,225.57
Aceh,1906,Dec,398.18
Aceh,1907,Jan,270.74
Aceh,1907,Feb,123.75
Aceh,1907,Mar,259.35
Aceh,1907,Apr,59.58
Aceh,1907,May,151.53
Aceh,1907,Jun,239.06
Aceh,1907,Jul,147.62
Aceh,1907,Aug,191.72
Aceh,1907,Sep,246.92
Aceh,1907,Oct,251.37
Aceh,1907,Nov,292.41
Aceh,1907,Dec,497.89
Aceh,1908,Jan,207.52
Aceh,1908,Feb,244.91
Aceh,1908,Mar,187.75
Aceh,1908,Apr,220.81
Aceh,1908,May,399.58
Aceh,1908,Jun,123.89
Aceh,1908,Jul,96.9
Aceh,1908,Aug,141.69
Aceh,1908,Sep,298.95
Aceh,1908,Oct,216.95
Aceh,1908,Nov,171.8
Aceh,1908,Dec,316.64
Aceh,1909,Jan,161.91
Aceh,1909,Feb,140.82
Aceh,1909,Mar,187.9
Aceh,1909,Apr,97.37
Aceh,1909,May,199.05
Aceh,1909,Jun,219.89
Aceh,1909,Jul,153.52
Aceh,1909,Aug,222.57
Aceh,1909,Sep,264.73
Aceh,1909,Oct,323.64
Aceh,1909,Nov,258.69
Aceh,1909,Dec,210.83
Aceh,1910,Jan,184.33
Aceh,1910,Feb,271.52
Aceh,1910,Mar,202.95
Aceh,1910,Apr,156.88
Aceh,1910,May,166.12
Aceh,1910,Jun,258.31
Aceh,1910,Jul,119.46
Aceh,1910,Aug,228.34
Aceh,1910,Sep,146.41
Aceh,1910,Oct,216.92
Aceh,1910,Nov,294.79
Aceh,1910,Dec,323.03
Aceh,1911,Jan,189.03
Aceh,1911,Feb,73.94
Aceh,1911,Mar,161.18
Aceh,1911,Apr,191.94
Aceh,1911,May,106.79
Aceh,1911,Jun,127.08
