,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,154.61,156.95,174.06,181.68,174.24,161.75,177.04,141.56,99.62,107.84,134.97,146.21
1902,153.55,157.36,173.71,177.11,174.81,161.19,170.99,140.27,99.78,106.61,134.77,147.11
1903,152.11,155.43,176.90,174.98,176.76,165.82,179.84,142.89,100.98,107.73,135.62,146.20
1904,152.97,157.91,175.62,180.53,174.69,163.82,177.77,142.34,99.80,106.83,139.13,146.01
1905,151.96,154.55,174.24,177.58,179.44,162.14,172.65,141.62,100.55,108.20,134.79,143.13
1906,154.58,155.12,171.05,176.97,174.44,164.64,173.13,144.24,101.33,109.52,135.26,145.13
1907,151.61,154.14,179.25,176.73,174.85,165.57,182.50,143.55,97.32,108.68,133.86,149.54
1908,150.63,157.46,173.20,173.02,178.11,175.13,174.54,144.11,97.07,106.78,136.67,172.27
1909,164.01,186.35,156.05,162.16,187.69,168.84,283.35,141.55,76.82,109.52,136.16,139.50
1910,158.52,141.37,167.15,197.56,156.42,177.07,213.64,161.04,105.22,119.58,179.16,139.21
1911,146.29,136.12,154.43,157.31,164.68,166.52,183.24,115.20,74.10,103.42,122.68,169.12
1912,161.61,189.12,167.30,147.34,177.42,172.14,164.55,119.74,79.12,103.20,122.96,132.59
1913,149.21,158.26,168.85,185.82,193.68,161.08,192.59,106.55,73.89,104.00,106.46,137.05
1914,168.67,148.42,162.53,169.77,136.92,153.52,132.24,107.47,74.70,105.83,107.45,122.90
1915,162.49,153.83,161.21,185.73,176.28,122.43,140.77,108.49,98.50,104.64,145.57,126.90
1916,122.13,133.08,153.80,140.80,148.40,166.55,193.47,159.15,102.36,112.51,142.14,144.31
1917,160.66,167.41,170.68,164.63,185.54,169.04,220.67,186.40,115.08,115.76,164.31,160.68
1918,142.36,157.16,150.30,184.99,151.91,140.26,132.56,105.42,73.82,104.43,103.52,194.99
1919,151.75,159.90,178.58,163.78,176.63,142.92,146.05,107.24,78.00,103.33,107.07,138.36
1920,155.42,136.04,166.48,176.64,182.29,158.28,143.97,155.72,95.45,111.42,133.21,142.37
1921,153.96,168.39,175.80,153.90,172.04,157.80,181.03,167.88,77.84,110.12,135.00,152.98
1922,170.41,129.85,186.74,146.88,169.56,166.02,169.12,123.73,74.57,106.59,113.44,139.50
1923,166.04,148.23,161.00,162.30,148.64,130.76,221.46,106.16,73.69,104.46,103.11,178.54
1924,170.32,153.33,206.08,166.54,204.98,206.90,143.87,139.84,81.11,108.99,173.40,122.22
1925,165.56,155.67,152.91,179.42,179.29,175.39,144.82,114.81,75.34,104.56,109.06,132.91
1926,175.07,148.57,157.96,184.26,174.66,142.12,136.77,129.47,82.24,105.20,112.70,124.54
1927,136.67,133.61,163.67,182.96,146.72,166.91,151.96,106.67,83.89,104.06,145.95,150.56
1928,135.33,174.61,169.63,140.51,144.18,150.02,144.88,119.65,74.82,108.91,122.00,142.41
1929,143.85,151.76,183.94,148.10,155.61,134.14,157.46,123.14,79.66,104.58,125.86,131.94
1930,133.75,151.10,171.94,166.28,149.28,127.97,131.63,105.56,73.88,104.82,103.07,149.99
1931,162.03,137.50,174.69,184.65,177.61,189.76,179.63,120.67,79.08,105.86,130.73,120.75
1932,144.56,133.53,168.11,178.93,165.16,208.13,154.47,116.68,76.24,107.89,128.11,151.75
1933,151.51,148.98,177.45,163.22,151.94,173.49,193.93,185.50,75.98,107.74,122.85,140.38
1934,132.57,145.82,171.10,159.20,174.37,193.87,175.15,119.33,79.70,106.75,156.47,148.29
1935,167.50,135.70,166.68,193.46,203.99,163.40,155.07,127.15,74.41,107.18,147.12,120.03
1936,148.17,156.08,214.24,173.25,167.68,165.97,148.47,205.51,100.50,106.94,146.62,156.97
1937,149.47,144.43,153.49,193.87,157.60,166.88,204.64,108.01,79.74,106.99,110.22,130.75
1938,136.23,131.00,147.67,150.09,167.54,158.58,205.05,219.83,95.95,104.39,126.83,139.31
1939,143.46,132.91,163.04,147.13,173.98,178.38,228.28,134.59,74.02,105.30,114.97,126.15
1940,136.35,139.30,151.57,192.07,227.96,146.04,131.92,108.48,81.29,103.46,104.30,157.70
1941,133.28,132.57,139.96,145.33,148.99,145.56,134.01,105.28,73.74,107.26,118.22,138.48
1942,153.55,155.56,175.34,178.11,177.46,165.40,176.18,143.84,101.56,108.69,136.47,145.68
1943,153.55,155.56,175.34,178.11,177.46,165.40,176.18,143.84,101.56,108.69,136.47,145.68
1944,153.55,155.56,175.34,178.11,177.46,165.40,176.18,143.84,101.56,108.69,136.47,145.68
1945,153.55,155.56,175.34,178.11,177.46,165.40,176.18,143.84,101.56,108.69,136.47,145.68
1946,153.55,155.56,175.34,178.11,177.46,165.40,176.18,143.84,100.80,106.28,133.48,145.07
1947,136.10,168.28,211.28,176.11,146.53,146.79,199.58,155.15,122.57,109.47,136.75,152.48
1948,157.34,162.12,177.01,185.54,155.36,179.12,171.53,127.73,93.22,100.61,139.46,146.63
1949,155.13,175.21,148.43,193.19,203.50,161.24,188.16,130.38,85.75,114.28,108.78,149.22
1950,141.09,143.53,153.06,170.75,176.89,175.25,183.07,157.10,104.30,116.30,136.34,141.37
1951,138.48,162.47,152.04,134.62,181.10,157.07,219.26,110.31,103.71,108.05,141.93,116.71
1952,156.76,190.20,213.71,166.37,171.84,196.08,173.30,144.37,92.38,114.68,163.73,178.52
1953,178.87,136.08,159.73,171.14,175.40,152.09,208.83,114.41,85.85,110.42,180.43,136.42
1954,150.24,150.56,180.71,212.40,191.06,207.54,170.84,228.34,109.58,108.95,146.49,147.64
1955,166.89,164.93,161.02,211.07,203.09,193.54,283.36,160.16,131.25,114.40,146.42,150.76
1956,155.60,139.07,142.31,206.50,170.64,168.68,191.11,267.89,85.65,120.29,163.81,142.23
1957,178.27,158.30,183.24,135.51,184.46,165.98,176.64,193.77,76.88,100.06,129.87,185.34
1958,140.93,158.09,196.74,181.13,161.58,146.59,154.29,204.53,78.75,111.23,130.41,145.27
1959,154.89,152.05,185.79,171.62,201.86,214.45,176.00,114.37,86.44,101.04,125.10,154.82
1960,160.05,190.21,177.69,172.12,181.01,159.79,228.75,155.48,96.27,103.07,150.79,129.12
1961,148.83,177.24,174.86,201.64,178.10,179.22,142.74,110.60,86.93,97.69,128.98,156.08
1962,151.84,152.30,174.25,198.36,184.24,200.05,161.96,157.34,87.12,102.89,142.83,138.14
1963,159.49,160.65,179.97,179.34,166.62,130.43,149.05,141.20,77.33,98.97,129.05,168.73
1964,178.89,159.85,220.55,164.29,180.04,145.95,183.16,168.07,146.10,120.25,163.35,134.96
1965,158.90,158.67,153.63,155.98,167.12,147.50,163.80,110.56,71.63,99.55,104.57,138.36
1966,151.15,169.03,203.07,189.98,175.26,151.72,135.21,140.18,74.54,110.10,158.02,180.62
1967,157.59,165.52,168.99,177.09,174.49,147.25,166.82,114.94,91.74,99.00,126.42,152.46
1968,174.99,146.04,156.25,169.77,148.64,181.38,259.50,184.26,89.16,104.79,120.29,143.45
1969,130.28,161.85,181.04,175.22,163.94,130.98,176.01,108.38,79.51,102.07,124.99,142.41
1970,146.25,174.49,187.26,165.63,201.67,177.10,151.37,114.47,111.37,110.26,137.22,146.75
1971,171.18,143.96,176.31,155.50,163.09,185.03,210.17,228.20,167.41,121.83,151.21,132.72
1972,153.92,144.87,166.14,160.23,171.28,142.70,140.46,120.04,72.39,101.08,112.32,122.80
1973,155.73,151.89,177.37,181.66,178.56,176.98,175.57,202.14,162.19,105.79,141.95,144.36
1974,132.85,169.99,157.34,163.06,166.81,214.62,237.89,135.80,136.40,120.19,137.68,122.35
1975,147.47,140.40,173.85,200.46,214.63,199.86,239.51,200.77,152.40,137.53,165.87,148.80
1976,150.29,168.45,175.24,174.42,166.22,151.65,144.78,136.37,73.88,111.58,161.03,139.40
1977,150.18,146.99,159.71,187.31,152.76,181.45,147.46,127.19,92.94,113.81,124.94,140.46
1978,150.10,166.88,211.60,193.60,156.68,166.82,189.19,154.36,164.42,109.08,147.16,135.98
1979,143.24,151.02,153.35,177.69,187.84,186.23,168.59,104.40,84.85,101.04,155.02,166.51
1980,146.33,148.24,169.59,184.43,181.63,166.77,165.66,155.14,71.01,110.00,118.58,149.40
1981,149.48,153.46,174.04,176.89,186.24,168.89,181.46,129.40,109.46,105.44,149.65,153.84
1982,175.92,140.06,184.56,221.98,188.50,146.36,123.75,101.57,74.18,100.28,104.26,110.48
1983,148.36,122.63,148.99,157.41,182.77,156.92,196.31,127.14,78.82,110.50,152.99,145.39
1984,137.99,161.85,182.88,183.33,222.12,182.83,184.89,149.27,117.86,105.85,133.73,144.93
1985,149.98,155.04,171.58,190.88,180.44,165.15,175.83,144.27,100.42,104.93,145.88,146.91
1986,156.71,155.03,185.22,178.37,166.13,167.02,198.82,146.87,103.45,122.99,140.47,145.97
1987,154.63,155.61,169.19,171.82,179.22,153.53,169.71,153.17,93.15,97.27,133.85,148.58
1988,157.41,138.69,178.31,166.02,178.91,180.80,188.40,171.82,97.17,119.44,134.57,149.67
1989,154.53,166.40,167.96,155.62,189.37,140.28,179.88,132.66,85.70,112.22,128.19,156.15
1990,174.20,168.75,173.51,175.27,174.57,135.54,175.35,138.80,92.46,104.49,111.58,168.19
1991,154.71,156.74,173.22,180.74,170.55,157.36,170.73,129.13,92.04,102.25,131.98,141.56
1992,146.78,152.76,171.79,176.90,172.76,160.57,172.29,107.97,104.91,107.77,135.56,142.13
1993,133.74,137.78,146.93,178.04,172.35,172.37,162.14,130.53,95.03,103.90,139.46,145.48
1994,152.92,152.52,183.30,182.48,179.23,163.28,145.53,137.50,93.22,103.99,133.70,145.68
1995,152.59,155.01,178.11,192.51,175.01,171.85,173.46,137.45,96.58,105.21,139.23,142.74
