,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,393.64,367.21,192.27,353.83,87.61,70.22,155.97,58.51,24.15,109.92,130.50,300.28
1902,316.87,390.77,176.69,163.12,108.49,55.02,19.17,26.29,31.12,44.99,118.29,358.80
1903,210.87,271.27,312.65,75.69,177.52,193.69,220.72,92.71,90.03,104.64,168.58,300.94
1904,275.39,428.50,263.27,307.68,105.28,135.52,173.16,79.14,33.65,58.64,362.58,286.51
1905,201.65,213.76,204.32,181.77,277.71,82.90,59.45,62.28,68.23,128.57,118.14,98.81
1906,390.98,249.95,66.81,158.29,95.40,159.78,69.33,128.96,107.48,199.13,148.99,232.67
1907,178.89,190.14,417.99,147.35,110.84,188.05,282.43,110.44,37.21,164.54,179.15,333.16
1908,246.35,263.09,166.33,152.13,167.68,136.58,136.99,96.09,52.60,76.56,249.51,160.12
1909,294.35,464.89,362.39,82.52,73.32,167.55,175.15,163.93,104.30,98.25,256.02,287.23
1910,503.02,429.28,263.70,157.27,117.34,247.90,94.24,116.59,154.99,196.73,519.97,225.28
1911,177.88,407.38,69.85,155.11,104.98,87.90,108.11,44.48,38.52,28.75,164.55,325.39
1912,361.90,129.88,219.45,216.85,142.81,223.82,209.73,104.64,18.57,19.20,187.12,295.80
1913,473.16,252.06,499.23,223.32,124.96,142.38,109.31,54.02,27.30,46.36,70.59,128.17
1914,427.16,193.21,79.52,42.34,78.22,112.99,133.46,117.87,116.78,157.87,141.64,252.60
1915,212.68,105.84,58.55,172.83,111.46,85.95,41.49,119.70,72.87,66.95,128.39,295.32
1916,330.36,277.33,244.40,78.15,160.42,139.74,199.33,65.03,111.60,170.79,94.84,273.67
1917,427.17,313.02,275.29,139.23,246.93,192.98,153.60,92.73,86.06,295.98,223.98,294.89
1918,324.90,383.66,152.33,174.70,258.48,189.49,24.13,17.28,30.57,60.33,98.59,249.97
1919,165.23,148.37,141.38,131.81,285.43,108.47,133.06,13.26,74.77,23.73,141.99,182.78
