,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,277.23,187.58,285.03,334.42,160.54,160.75,142.35,111.55,112.52,200.20,303.11,280.91
1902,210.30,312.20,281.27,261.82,161.98,77.74,80.40,64.97,142.77,133.51,146.28,222.99
1903,298.13,322.21,433.60,312.12,155.79,118.38,171.29,137.41,135.14,183.35,273.80,256.81
1904,315.10,204.66,289.24,271.52,155.89,108.86,161.31,122.44,193.54,307.87,293.95,370.78
1905,286.50,237.97,330.82,309.79,219.84,121.85,91.40,78.88,111.49,178.17,304.01,218.21
1906,313.36,229.62,300.18,284.15,165.64,127.82,148.16,128.67,132.70,228.01,319.51,390.31
1907,209.85,255.04,318.36,271.31,166.41,114.71,153.62,99.40,164.98,197.95,298.88,299.06
1908,351.83,263.87,295.34,316.21,191.69,127.85,166.30,141.24,237.39,213.96,318.16,388.81
1909,277.60,269.01,439.29,294.37,214.76,133.63,91.88,118.16,148.06,265.14,232.65,324.57
1910,319.09,282.22,292.68,299.64,149.91,142.95,133.97,172.03,208.23,207.39,300.19,305.03
1911,342.18,195.46,201.78,266.57,166.20,117.48,131.85,67.67,90.58,212.04,259.92,316.05
1912,270.03,331.76,278.12,283.78,160.48,118.52,143.56,109.89,234.90,146.67,277.91,301.16
1913,340.12,224.89,389.68,292.84,166.36,121.80,99.87,74.59,116.36,148.53,187.65,232.39
1914,236.95,176.21,237.43,247.37,141.44,91.18,53.41,55.07,66.06,124.65,191.92,287.33
1915,310.58,207.15,227.08,293.01,191.30,126.10,137.13,64.50,193.52,206.94,252.22,361.94
1916,302.98,210.02,387.25,265.44,142.81,107.28,147.33,150.68,182.04,239.49,302.33,297.84
1917,338.40,219.80,263.59,251.05,167.92,110.53,120.71,182.02,174.02,259.92,239.04,357.57
1918,324.13,161.07,213.03,276.81,174.25,96.60,64.58,99.98,101.95,112.73,314.52,312.00
1919,334.88,255.35,280.84,280.70,173.12,83.33,103.73,89.09,110.45,155.93,215.36,243.04
1920,311.86,198.55,254.06,281.06,172.01,87.11,88.01,135.81,113.32,211.91,165.73,240.69
1921,319.24,246.65,333.83,276.19,141.19,98.18,122.80,76.20,126.39,248.19,312.90,332.17
1922,278.91,173.14,320.49,274.73,190.46,119.54,99.46,106.40,125.78,163.07,249.66,307.52
1923,298.48,250.41,300.55,180.06,132.34,112.89,161.44,63.90,71.83,145.26,229.28,248.27
1924,324.24,237.09,376.13,268.61,196.21,104.77,68.23,84.97,114.99,195.69,226.96,287.22
1925,238.48,303.50,335.74,252.32,165.15,100.61,78.21,85.35,173.80,146.60,183.48,357.14
1926,253.32,234.02,341.32,252.42,170.80,98.10,106.19,111.52,127.91,229.42,229.36,279.02
1927,235.80,223.23,320.60,308.84,154.09,74.76,38.55,71.52,136.15,203.94,422.05,360.01
1928,331.35,332.73,335.79,278.55,229.83,97.71,163.13,165.24,114.77,230.03,221.87,440.95
1929,280.54,215.37,333.47,340.03,104.34,119.74,73.66,63.57,111.17,130.65,182.37,380.18
