,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,358.38,338.86,415.73,119.00,45.25,193.95,145.25,16.23,7.39,71.38,210.62,295.30
1902,372.48,399.02,397.22,53.47,91.17,62.36,4.14,12.01,0.02,14.11,87.54,204.36
1903,192.99,460.85,462.84,202.87,161.06,67.94,30.33,7.40,45.91,179.33,300.53,386.75
1904,251.95,361.59,476.94,204.60,232.37,86.46,38.92,40.01,146.96,198.30,246.58,400.56
1905,297.26,429.05,275.06,265.18,148.89,13.20,108.12,16.81,27.95,36.90,257.05,222.01
1906,496.30,318.15,265.97,207.53,109.88,20.76,69.10,129.83,234.36,171.88,316.68,527.09
1907,328.54,361.41,320.65,143.10,146.55,39.33,47.88,40.42,54.73,167.36,324.77,403.53
1908,263.66,455.32,286.85,202.95,224.70,96.20,93.34,88.02,61.89,183.91,316.03,306.80
1909,355.35,351.94,312.24,231.44,316.19,237.54,151.72,62.37,112.13,260.82,195.94,202.26
1910,328.38,344.79,327.85,192.53,156.10,124.28,158.71,93.91,164.20,320.66,311.01,339.36
1911,361.51,311.46,263.72,176.34,157.72,116.42,98.37,6.21,58.84,170.56,258.99,322.13
1912,407.98,394.62,395.28,97.35,66.93,35.12,26.20,6.70,22.69,173.28,423.43,276.19
1913,376.37,292.13,377.00,168.57,59.46,9.45,3.45,11.81,32.31,160.83,134.21,336.71
1914,281.83,352.50,269.03,213.83,155.28,85.77,1.57,1.58,1.26,3.60,173.73,344.66
1915,467.05,435.15,280.23,162.79,285.82,93.46,18.06,23.95,45.42,133.47,350.01,263.19
1916,435.74,327.05,307.77,94.28,84.85,120.84,95.38,89.48,141.59,352.11,254.11,319.88
1917,330.77,434.99,264.37,276.12,120.87,54.48,24.24,27.61,178.00,262.30,267.41,378.80
1918,324.78,416.13,186.57,109.00,127.58,25.29,6.41,9.48,1.31,36.49,232.01,309.69
1919,258.33,350.57,292.69,200.56,259.04,61.18,8.00,18.49,12.21,15.72,271.88,398.01
1920,409.15,228.16,392.44,288.70,98.79,54.58,33.99,137.79,176.85,293.92,281.40,199.61
1921,238.28,387.29,382.99,140.79,25.82,60.43,52.12,18.94,54.87,211.39,146.67,284.37
1922,308.17,353.32,314.02,194.20,238.79,177.70,25.98,12.96,11.43,159.27,207.88,353.33
1923,274.69,381.45,301.85,138.91,206.10,130.29,216.61,0.22,0.47,23.31,192.00,325.39
1924,236.67,385.55,359.71,216.35,166.64,49.77,31.39,8.91,24.80,328.79,343.44,216.98
1925,397.29,344.70,427.21,174.51,38.42,4.53,11.52,2.42,6.63,22.60,120.96,251.98
1926,321.49,361.08,461.46,178.48,234.90,3.76,0.69,5.70,18.51,50.64,206.74,425.42
1927,504.10,258.28,376.55,224.12,236.89,159.24,31.31,11.65,23.62,173.05,225.49,279.30
1928,369.87,408.94,495.51,217.50,47.29,118.95,40.06,89.87,17.21,138.94,368.59,478.03
1929,368.28,304.52,456.96,125.90,18.54,27.32,0.30,4.02,10.94,52.30,57.40,350.49
1930,262.32,379.91,279.20,221.83,292.33,13.68,25.02,15.24,6.40,168.81,247.71,312.32
1931,370.28,369.51,345.12,286.79,220.09,39.06,10.61,13.39,24.23,178.04,226.36,248.21
1932,278.42,359.53,403.98,303.85,142.07,115.75,6.41,4.26,54.17,99.87,240.62,337.59
1933,424.23,436.22,361.40,145.04,180.14,101.36,32.47,85.75,151.46,175.61,288.33,317.08
1934,486.91,308.30,433.61,272.30,70.34,45.17,26.60,6.39,13.86,113.87,434.31,246.02
1935,349.27,347.96,276.54,267.25,75.97,36.54,2.44,3.64,3.47,115.93,262.58,271.38
1936,405.93,238.73,260.29,245.02,106.61,63.70,24.18,8.54,16.38,131.20,228.87,295.13
1937,418.52,333.67,357.85,326.51,175.14,174.25,12.03,0.44,82.43,62.03,199.44,454.21
1938,418.28,423.12,306.91,166.28,252.95,116.13,141.01,48.12,21.22,94.02,292.44,311.91
1939,505.10,344.56,344.17,294.38,56.13,181.84,193.04,93.84,36.25,126.04,164.55,185.57
1940,419.47,275.75,256.94,216.44,139.93,75.26,5.16,2.44,4.31,23.51,178.07,335.75
1941,378.24,342.20,409.78,223.70,170.84,111.28,24.66,8.46,27.84,63.71,219.00,421.53
1942,476.95,424.28,271.32,197.33,218.21,98.40,39.21,31.46,73.55,295.19,370.55,199.98
