,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.84,25.01,25.30,25.06,24.55,23.90,23.94,24.17,24.23,24.27,24.33,24.34
1902,24.54,24.83,24.92,24.78,24.36,23.88,23.76,24.17,24.18,24.30,24.55,24.46
1903,24.54,25.00,25.01,24.75,24.37,23.91,23.94,24.17,24.42,24.28,24.35,24.29
1904,24.45,25.03,24.87,24.92,24.22,24.08,23.93,24.17,24.42,24.22,24.45,24.32
1905,24.43,24.69,24.83,24.79,24.19,23.84,23.94,24.17,24.42,24.34,24.45,24.25
1906,24.45,24.69,24.93,24.73,24.28,23.89,23.93,24.17,24.19,24.51,24.45,24.16
1907,24.72,25.03,25.21,24.92,24.16,23.79,23.93,24.17,24.42,24.27,24.35,24.34
1908,24.54,24.71,24.85,24.59,24.24,23.85,23.94,24.17,24.42,24.22,24.35,24.30
1909,24.52,25.03,25.11,24.92,24.26,23.79,23.93,24.17,24.21,24.25,24.39,24.20
1910,24.35,25.03,24.76,24.64,24.47,23.93,23.85,24.06,24.42,24.51,24.45,24.33
1911,24.72,24.73,25.21,24.67,24.14,24.08,23.93,24.17,24.42,24.32,24.41,24.33
1912,24.49,24.79,24.86,24.58,24.40,24.08,23.93,24.17,24.42,24.23,24.31,24.29
1913,24.43,25.03,25.22,24.92,24.50,24.08,23.93,24.17,24.42,24.50,24.33,24.20
1914,24.43,24.73,24.96,24.69,24.17,24.08,23.93,24.17,24.42,24.23,24.43,24.54
1915,24.61,24.89,25.15,24.75,24.97,24.43,24.34,25.05,24.62,25.07,24.84,24.81
1916,24.68,25.03,24.99,25.18,24.78,24.21,24.29,24.11,24.77,24.51,24.55,24.33
1917,24.34,24.33,25.00,24.90,24.52,23.82,24.01,24.04,24.42,24.40,24.58,24.57
1918,24.60,24.71,24.52,24.58,23.85,23.60,23.93,24.46,24.52,24.78,24.43,24.39
1919,24.35,24.77,25.22,24.67,24.32,24.09,23.93,24.17,24.42,24.22,24.31,24.36
1920,24.35,24.73,25.22,24.69,24.20,24.08,23.93,24.17,24.42,24.51,24.29,24.17
1921,24.60,24.89,24.60,24.45,24.06,23.73,23.87,23.85,24.37,23.94,24.38,24.22
1922,24.48,24.57,24.53,24.65,24.13,23.47,23.55,23.98,24.25,24.20,24.11,23.99
1923,24.06,24.61,24.82,24.64,24.04,24.06,23.28,23.92,24.60,24.15,24.69,24.30
1924,25.14,25.08,25.75,25.16,24.60,23.54,23.45,24.25,23.72,24.00,24.09,24.09
1925,23.94,24.09,24.20,24.59,24.44,23.71,23.60,23.81,24.27,24.65,24.39,24.64
1926,25.01,25.42,25.65,25.69,25.03,24.53,23.96,24.07,24.16,24.47,24.65,24.14
1927,24.32,24.48,24.98,24.45,24.11,23.75,23.13,24.21,24.24,24.19,24.81,24.58
1928,24.54,25.10,24.85,25.11,24.37,23.84,23.77,23.99,24.35,24.38,24.45,24.19
1929,24.71,25.16,24.88,24.78,24.09,23.75,23.44,24.09,24.50,24.53,24.68,24.59
1930,24.46,24.94,25.36,25.10,24.25,23.91,23.84,23.92,24.42,24.34,24.89,24.80
1931,25.17,25.39,25.81,25.50,24.70,24.18,23.62,24.12,24.26,24.62,24.61,24.34
1932,24.61,25.06,24.93,25.52,24.19,23.91,23.69,24.13,24.34,24.23,24.79,24.37
1933,24.85,24.69,25.12,24.87,24.61,23.89,24.18,24.13,24.70,24.15,24.29,24.11
1934,24.33,24.22,24.39,25.13,24.51,24.40,23.71,24.36,24.99,24.26,24.54,24.65
1935,24.69,24.60,25.24,24.87,24.06,24.04,23.96,24.03,24.33,24.45,24.41,24.66
1936,24.71,25.21,25.49,25.16,24.78,24.04,23.93,24.38,24.78,24.50,25.19,24.55
1937,24.45,24.81,25.49,25.09,24.41,24.01,23.77,24.21,24.43,24.75,25.03,25.00
1938,24.89,25.11,24.65,24.34,24.13,23.90,23.75,23.89,24.54,24.48,24.32,24.35
1939,24.37,24.33,24.50,24.68,24.53,24.01,23.86,24.36,24.57,24.65,24.72,25.00
1940,24.33,25.19,25.13,25.29,25.19,24.46,24.38,24.41,24.71,24.72,24.77,24.17
1941,24.79,25.32,25.88,25.44,25.49,24.41,24.26,24.82,25.15,25.38,25.79,25.69
1942,24.91,24.98,25.41,24.88,24.33,24.10,23.66,24.28,24.75,24.40,24.41,24.49
1943,24.71,24.48,24.33,24.54,23.99,23.62,23.49,24.20,24.96,24.72,24.82,24.45
1944,24.41,24.33,24.75,24.73,24.18,23.68,24.08,24.30,24.34,24.87,24.47,24.43
1945,24.46,24.61,25.15,24.14,23.59,24.11,23.92,24.35,24.78,24.55,24.60,24.73
1946,24.58,24.50,24.91,24.39,24.27,24.14,23.83,24.11,24.71,24.63,24.59,24.61
1947,24.96,25.40,25.71,25.09,24.58,24.17,23.65,24.31,24.58,24.48,24.89,24.95
1948,24.95,25.08,25.35,24.61,24.61,23.92,23.69,24.17,24.92,24.61,24.95,24.91
1949,24.68,24.81,25.26,24.81,24.41,23.58,23.28,23.73,24.18,24.43,24.55,24.45
1950,23.96,24.09,24.27,24.33,23.89,23.20,23.06,23.46,24.51,24.14,24.53,24.37
1951,23.91,23.99,24.61,24.91,24.57,24.10,23.73,24.48,24.82,24.93,24.78,24.77
1952,24.71,25.13,25.54,24.98,24.72,24.04,23.78,24.16,24.53,24.74,24.50,24.57
1953,24.58,24.74,24.73,25.27,24.49,24.36,23.95,24.57,24.54,24.50,24.85,24.66
1954,24.52,24.81,25.23,24.49,24.23,23.53,23.16,23.43,24.31,23.70,24.15,24.06
1955,24.40,24.76,24.45,24.19,24.40,23.72,23.43,23.88,24.02,24.09,24.46,24.20
1956,23.75,24.38,24.91,24.94,24.17,23.69,23.61,23.89,24.17,24.14,24.42,24.27
1957,24.31,24.95,25.15,24.89,24.60,24.34,24.17,24.60,25.01,24.77,24.92,25.15
1958,25.57,25.94,26.46,25.77,25.04,24.64,24.37,24.43,25.27,25.09,24.88,25.01
1959,25.38,25.30,25.88,25.53,24.49,23.97,24.10,24.25,24.74,24.60,24.73,25.12
1960,25.06,25.45,25.37,25.05,24.60,24.18,23.89,24.24,24.51,24.82,24.94,24.59
1961,24.86,25.06,25.48,25.24,25.14,23.93,23.78,24.38,24.49,24.67,24.24,24.69
1962,24.78,25.19,24.99,24.96,24.14,23.50,24.06,24.29,24.82,24.73,24.79,25.11
1963,24.95,24.95,25.22,24.74,24.25,24.45,24.24,24.77,25.03,25.18,24.57,25.22
1964,25.39,25.97,25.68,24.79,24.63,23.47,23.50,23.88,24.22,24.22,24.40,23.96
1965,24.27,24.88,25.29,24.60,24.29,24.25,24.32,24.30,24.67,24.86,24.55,24.88
1966,25.55,25.65,25.36,25.17,24.64,24.08,23.95,24.09,24.41,24.49,24.37,24.29
1967,24.33,24.65,24.72,24.39,24.30,23.56,23.45,23.96,24.20,24.50,24.62,24.56
1968,24.33,24.78,24.78,24.41,23.74,23.48,23.80,24.06,24.28,24.37,24.71,24.63
1969,24.68,25.27,25.97,25.29,25.23,24.68,24.14,24.15,24.67,24.30,24.73,24.88
1970,24.94,25.13,25.40,25.16,24.51,24.23,23.80,23.99,24.01,24.52,24.31,24.60
1971,24.18,24.12,24.35,24.44,23.83,23.75,23.76,23.54,23.82,24.04,24.15,24.13
1972,24.21,24.71,24.90,24.61,24.49,24.39,24.47,24.22,24.84,24.80,24.89,24.97
1973,25.64,25.66,25.89,25.29,24.61,24.09,23.84,23.86,23.83,24.43,24.13,23.71
1974,23.91,24.41,24.36,24.41,24.02,24.00,23.58,23.98,23.60,24.00,24.32,24.13
1975,24.18,24.33,24.87,24.58,24.03,23.88,23.01,23.93,23.84,23.86,23.97,23.49
1976,23.87,24.07,24.25,24.36,24.15,23.67,23.83,24.20,24.68,24.37,24.49,24.43
1977,25.03,25.28,25.54,25.06,24.34,23.86,24.12,24.18,24.52,24.68,24.75,25.02
1978,24.90,25.68,25.23,24.61,24.58,23.84,23.90,23.88,24.35,24.58,24.90,24.53
1979,24.80,25.34,25.18,25.01,24.55,23.96,24.17,24.40,24.35,24.78,24.79,24.67
1980,25.00,25.39,25.70,25.55,25.12,24.56,24.07,24.16,24.69,24.67,24.56,24.64
1981,24.93,25.12,25.52,24.80,24.37,23.98,23.78,23.98,24.30,24.58,24.95,25.04
1982,24.73,25.08,25.12,24.57,24.28,24.49,24.18,24.65,24.88,24.58,24.94,24.95
1983,25.94,26.24,26.47,25.42,25.30,24.77,24.80,24.74,24.97,24.69,25.15,24.45
1984,24.24,24.72,25.32,25.11,24.49,24.12,23.61,23.87,23.98,24.59,24.55,24.41
1985,24.43,25.02,25.26,24.99,24.44,24.10,23.84,23.77,24.23,24.44,24.25,24.32
1986,24.72,24.53,24.89,25.01,24.58,24.05,23.97,24.40,24.53,24.28,24.66,24.82
1987,24.98,25.59,25.73,25.60,24.67,24.70,24.57,24.58,24.87,24.99,25.26,25.29
1988,25.10,25.48,25.89,25.37,25.13,23.95,23.85,23.77,24.26,24.57,24.30,24.16
1989,24.32,24.31,24.43,24.92,24.30,24.01,23.86,24.33,24.37,24.35,24.82,24.53
1990,24.68,24.71,25.27,25.10,24.70,24.65,24.11,24.56,25.00,24.70,25.09,24.70
1991,24.83,25.64,25.47,25.26,24.97,24.67,24.15,23.94,24.72,24.66,24.75,24.90
