,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,27.40,28.10,28.00,28.30,28.00,27.80,27.40,27.40,27.30,27.20,27.40,27.20
1902,27.40,28.10,28.00,28.30,28.00,27.80,27.40,27.40,27.30,27.20,27.40,27.20
1903,27.40,28.10,28.00,28.30,28.00,27.80,27.40,27.40,27.30,27.20,27.40,27.20
1904,27.40,28.10,28.00,28.30,28.00,27.80,27.40,27.40,27.30,27.20,27.40,27.20
1905,27.40,28.10,28.00,28.30,28.00,27.80,27.40,27.40,27.30,27.20,27.40,27.20
1906,27.40,28.10,28.00,28.30,28.00,27.80,27.40,27.40,27.30,27.20,27.40,27.20
1907,27.40,28.10,28.00,28.30,28.00,27.80,27.40,27.40,27.30,27.20,27.40,27.20
1908,27.40,28.10,28.00,28.30,28.00,27.80,27.40,27.40,27.30,27.20,27.40,27.20
1909,27.40,28.10,28.00,28.30,28.00,27.80,27.40,27.40,27.30,27.20,27.40,27.20
1910,27.40,28.10,28.00,28.30,28.00,27.80,27.40,27.40,27.30,27.20,27.40,27.20
1911,27.40,28.10,28.00,28.30,28.00,27.80,27.40,27.40,27.30,27.20,27.40,27.20
1912,27.40,28.10,28.00,28.30,28.00,27.80,27.40,27.40,27.30,27.20,27.40,27.20
1913,27.40,28.10,28.00,28.30,28.00,27.80,27.40,27.40,27.30,27.20,27.40,27.20
1914,27.40,28.10,28.00,28.30,28.00,27.80,27.40,27.40,27.30,27.20,27.40,27.20
1915,27.40,28.10,28.00,28.30,28.00,27.80,27.40,27.40,27.30,27.20,27.40,27.20
1916,27.40,28.10,28.00,28.30,28.00,27.80,27.40,27.40,27.30,27.20,27.40,27.20
1917,27.40,28.10,28.00,28.30,28.00,27.80,27.40,27.40,27.30,27.20,27.40,27.20
1918,27.40,28.10,28.00,28.30,28.00,27.80,27.40,27.40,27.30,27.20,27.40,27.20
1919,27.40,28.10,28.00,28.30,28.00,27.80,27.40,27.40,27.30,27.20,27.40,27.20
